"","player_name","player_id","alt_id","league_id","goal","distance","cosangle","head","throughball","cross","fast_break","big_chance","open_play","freekick","difficult"
"132839","Álex Alegría",3533,0,4,0,65.848,0.978,0,0,0,0,0,1,0,0
"147804","Jean-Kevin Augustin",2870,0,3,0,71.136,0.972,0,0,0,0,0,1,0,0
"77091","Joey Barton",2128,0,1,0,65.428,0.956,0,0,0,0,0,1,0,0
"115353","Andy Delort",2824,0,3,0,64.541,0.949,0,0,0,0,0,1,0,0
"157963","Nicolas de Preville",114,0,3,0,62.902,0.974,0,0,0,0,0,1,0,0
"41819","Oscar",549,0,1,0,64.425,0.945,0,0,0,0,0,1,0,0
"106743","Jasmin Kurtic",10,0,2,0,55.038,0.906,1,0,0,0,0,1,0,0
"150990","Daniel Parejo",1179,0,4,0,70.101,0.994,0,0,0,0,0,0,1,0
"137522","Sandro Wagner",1426,0,5,0,57.658,0.883,0,0,1,0,0,1,0,1
"32350","Luca Siligardi",534,0,2,0,62.284,0.981,0,0,0,0,0,1,0,0
"138915","Marcus Coco",2950,0,3,1,50.25,0.443,0,0,0,0,1,1,0,1
"162421","Diego Reyes",3093,0,4,0,55.304,0.821,1,0,1,0,1,0,0,0
"101351","Robert Lewandowski",286,0,5,0,55.33,0.829,0,1,0,0,1,1,0,0
"52532","Shinji Okazaki",266,0,5,0,49.11,0.991,0,0,0,0,0,0,0,0
"180639","Gerard Piqué",1431,0,4,0,50.076,0.834,0,1,0,0,1,1,0,0
"115697","Riyad Mahrez",2134,0,1,0,63.482,0.94,0,0,0,0,0,1,0,0
"34130","Shinji Okazaki",266,0,5,1,54.826,0.82,1,0,0,0,1,0,0,0
"9175","Alberto De la Bella",168,0,4,0,51.275,0.962,0,0,0,0,0,1,0,0
"89205","Rene Krhin",1113,0,4,0,53.147,0.842,1,0,1,0,0,0,0,0
"98387","Klaas-Jan Huntelaar",1781,0,5,1,55.605,0.827,0,0,0,1,1,1,0,0
"2150","Romaric",371,0,3,0,49.069,0.974,0,0,1,0,0,1,0,1
"172040","Sergio Agüero",333,0,1,0,65.223,0.951,0,0,0,0,0,1,0,0
"127718","Edgar Prib",788,0,5,0,59.499,0.938,0,0,1,0,0,1,0,0
"176415","Ricardo Vaz Te",691,0,1,0,57.076,0.864,1,0,1,0,0,1,0,0
"46323","Tarik Elyounoussi",271,0,5,0,53.134,0.837,1,0,0,0,1,0,0,0
"114545","Manuel Lanzini",2959,0,1,0,70.651,0.968,0,0,0,0,0,1,0,0
"21960","Ivan Rakitic",647,0,4,0,71.97,0.972,0,0,0,0,0,1,0,0
"15669","Giacomo Bonaventura",164,0,2,0,58.971,0.941,0,0,0,0,0,1,0,0
"121177","José Holebas",2421,0,1,0,69.3,0.966,0,0,0,0,0,0,0,0
"35472","Sejad Salihovic",771,0,5,0,59.447,0.908,0,0,0,1,0,1,0,0
"24864","Jonny",1750,0,4,0,59.796,0.955,0,0,0,0,0,0,0,0
"1398","Pierre-Michel Lasogga",627,0,5,1,46.856,-0.068,0,0,1,0,1,0,0,0
"175989","Humberto Osorio",28,0,4,0,56.396,0.859,0,0,0,1,1,1,0,0
"155634","Lionel Messi",894,0,4,0,56.163,0.959,0,0,0,0,0,1,0,0
"68481","Morgan Schneiderlin",569,0,1,0,72.743,0.983,0,0,0,0,0,0,1,0
"124455","Federico Dionisi",2937,0,2,0,63.398,0.94,0,0,0,0,0,1,0,0
"129110","Lamine Koné",1215,0,1,0,62.507,0.944,0,0,0,0,0,0,0,0
"96197","Maxi López",1117,0,2,0,51.957,0.972,0,0,0,0,0,1,0,0
"175402","Gabriel Torje",462,0,4,0,73.469,0.987,0,0,0,0,0,1,0,0
"20504","Manolo Gabbiadini",602,0,2,0,72.193,0.979,0,0,0,0,0,1,0,0
"68086","Bastian Schweinsteiger",138,0,5,0,67.686,0.961,0,0,0,0,0,0,0,0
"15523","Milos Krasic",379,0,3,0,55.772,0.956,0,0,1,1,0,1,0,1
"70219","Stefan Aigner",792,0,5,0,52.64,0.996,0,0,0,0,0,1,0,0
"28916","Éric Bautheac",1301,0,3,0,55.843,0.997,0,0,0,0,0,0,1,0
"56316","Artjoms Rudnevs",1584,0,5,0,59.039,0.921,0,0,0,0,0,1,0,0
"83439","Jason Puncheon",246,0,1,0,71.183,0.983,0,0,0,0,0,1,0,0
"136233","Sandro Wagner",1426,0,5,1,48.511,0.248,0,0,0,1,1,1,0,0
"129532","Adam Lallana",570,0,1,0,53.701,0.793,0,0,1,0,0,1,0,0
"80362","Ashley Young",1665,0,1,0,57.754,0.972,0,0,0,0,0,1,0,0
